Churn,Account Length,Messages,Day Mins,Eve Mins,Night Mins,Intern. Min,CallCenter enquiry,Call Plan,Message Plan
0,141,36,187.5,241.4,229.5,10.5,3,0,1
0,62,0,98.9,135.4,236.6,12.2,1,0,0
0,146,0,206.3,148.6,167.2,6.1,1,0,0
0,92,33,243.1,213.8,228.7,12.1,2,0,1
0,185,31,189.8,163.3,264.8,7.5,1,0,1
0,148,0,202,243.2,261.3,10.9,1,0,0
0,94,38,170.1,193.3,105.9,12.8,1,0,1
0,32,0,230.9,187.4,154,6.3,0,0,0
0,68,0,237.1,223.5,97.4,13.2,1,0,0
0,64,27,182.1,169.7,164.7,10.6,2,0,1
0,25,0,119.3,211.5,268.9,10.5,3,0,0
0,65,0,116.8,178.9,182.4,14.1,1,0,0
0,179,0,219.2,149.4,244.7,6.1,0,0,0
0,94,0,252.6,169,170.9,11.1,2,0,0
0,62,0,147.1,190.4,195.2,12.2,0,0,0
0,127,0,202.1,229.4,195.2,11.5,2,0,0
0,116,0,173.5,194.1,208,16.2,3,0,0
0,70,0,232.1,292.3,201.2,0,3,0,0
0,94,23,197.1,214.5,282.2,9.5,4,1,1
1,126,0,58.2,138.7,136.8,11.9,5,0,0
0,67,36,115.6,237.7,169.9,9.9,2,0,1
0,19,0,186.1,254.3,214,14.6,2,0,0
0,170,0,259.9,245,134.4,8.4,3,1,0
0,73,0,214.3,268.5,241.2,10.8,1,0,0
0,106,0,158.7,64.3,198.5,10.2,1,0,0
0,93,0,271.6,229.4,77.3,10.9,2,0,0
0,164,0,160.6,163.2,187.1,9,1,0,0
0,51,0,232.4,187.4,231.2,9.1,1,0,0
0,107,0,133.8,180.5,112.2,8.9,0,0,0
0,130,0,176.9,90.7,238,9.5,1,0,0
0,80,0,209.9,195.1,208.2,8.8,2,0,0
0,94,0,137.5,203.2,150,13.4,0,0,0
0,118,23,289.5,166.6,119.1,9.5,1,0,1
0,117,23,198.1,177,180.5,6.8,1,0,1
0,78,0,149.7,182.2,261.5,9.7,0,0,0
1,208,0,326.5,176.3,181.7,10.7,2,0,0
1,131,26,292.9,199.7,255.3,13.8,4,1,1
0,63,0,83,177,245.7,13,0,0,0
0,53,24,145.7,220.5,249.9,13.1,3,0,1
0,62,0,182.3,328.2,245,11.2,2,0,0
0,97,0,218,184,240.5,6.4,3,0,0
0,105,0,140.6,178.6,217,6.8,2,0,0
0,157,0,152.7,257.5,198.1,9.4,1,0,0
0,66,36,106.7,209.8,190.4,12.1,1,0,1
0,122,0,243.8,83.9,179.8,13.7,2,0,0
0,38,0,194.4,186.7,223.3,10.8,3,0,0
0,106,0,213.9,151.9,260.1,12.2,3,0,0
0,99,0,217.2,246.7,226.1,15.8,3,0,0
0,99,0,241.1,155.6,188.2,11.6,1,0,0
0,144,0,203.5,247.6,194.3,11.9,0,1,0
0,82,24,155.2,244.5,122.4,10.7,1,0,1
0,86,31,167.6,113,246.9,12.2,1,0,1
1,70,0,226.7,228.1,73.2,17.6,2,1,0
0,93,0,179.3,178.6,225.2,11.5,3,0,0
0,93,0,151.4,186.4,172.5,10.9,0,0,0
0,120,0,180,224.2,265.4,4.7,3,0,0
1,136,0,250.2,267.1,151,13,1,0,0
0,106,0,223,110.1,188.7,7.1,0,0,0
0,81,0,183.6,152.6,212.2,12.2,3,0,0
0,127,22,166,174.5,244.9,10.2,1,0,1
0,65,0,136.1,272.9,220.2,4.4,1,0,0
0,35,0,149.3,242.2,174.3,8.9,2,0,0
0,88,0,65.4,168.2,236,13.8,2,0,0
0,65,0,213.4,234.5,250.1,2.7,1,0,0
0,123,0,206.9,244.7,221.5,7.7,3,0,0
0,126,27,186.2,189.6,76.5,9.6,2,0,1
0,104,23,280.2,220.5,136.9,13.3,4,0,1
0,45,22,196.6,313.2,163.3,11.9,0,0,1
1,93,0,312,129.4,217.6,10.5,0,1,0
0,63,36,199,291.3,197.6,11,1,1,1
0,100,0,203.1,217,180.9,13.5,3,0,0
0,53,0,168.8,220.3,154.3,10.9,0,0,0
0,92,0,173.1,240.3,233.2,9,1,1,0
1,139,0,134.4,211.3,193.6,10.2,5,0,0
0,110,40,202.6,118.8,234.9,9,2,0,1
0,110,0,74.5,200.8,192.2,9.8,3,0,0
0,215,0,83.6,120.9,226.6,10.7,0,0,0
0,73,0,192.2,168.6,139.8,9.4,1,0,0
0,138,0,220.2,88.3,195.3,12.9,0,0,0
1,137,0,135.1,134.1,223.1,12.3,2,1,0
0,36,0,253.4,182.4,275.8,8.4,1,0,0
0,85,0,225,176.9,194.3,7.1,3,0,0
1,108,0,198.5,267.8,354.9,9.4,0,0,0
0,22,0,110.3,166.5,202.3,9.5,0,0,0
0,107,37,60,102.2,261.8,11.1,0,0,1
0,51,0,214.8,149.7,283.4,10.2,0,0,0
0,94,0,181.8,202.4,245.9,9.2,4,0,0
0,119,23,154,278,228.4,11.8,2,0,1
1,33,29,157.4,117.9,279.2,13.9,4,0,1
0,106,0,207.9,172,191.8,14.4,4,0,0
0,82,0,207,232.9,172.4,9.1,3,0,0
0,86,41,119,230,236.9,9.5,0,0,1
0,97,0,143.7,273,178.3,10.9,0,1,0
0,106,32,165.9,216.5,173.1,14.1,4,0,1
0,108,0,138.6,172.3,231.6,9.8,1,0,0
0,114,0,84.7,249.9,193.4,14.5,1,0,0
1,92,0,62.6,180.6,221.7,10.4,1,1,0
0,59,0,155.2,235.3,169.4,8.7,1,0,0
0,24,25,164.9,209.3,231.2,6.7,1,0,1
0,151,0,134.5,143.1,223.9,15.4,1,0,0
0,117,0,143.3,211.3,185.2,11.5,1,0,0
0,78,0,168.3,221.2,241,12.5,1,0,0
0,155,0,262.4,194.6,146.5,8.3,2,0,0
0,114,30,206.2,260,291.6,11.4,1,0,1
0,114,28,225.8,193,232.4,8.4,4,0,1
0,119,0,138.3,170.5,263.9,13.5,3,0,0
0,64,48,94.4,136.2,147.4,4.5,0,0,1
0,118,0,160,175.4,184.8,9.9,2,1,0
0,101,0,206.6,224.9,249.9,14.6,0,0,0
0,117,0,134.7,180,200.9,7.7,1,0,0
0,49,28,214.4,235.2,206.2,8,3,0,1
0,139,0,192.8,234.4,203.2,13,3,0,0
0,92,28,151.1,194.8,239.2,10,1,0,1
0,83,0,221.4,231.8,122.5,9.8,3,0,0
0,148,0,218.9,208,203.3,11.1,0,1,0
1,144,48,189.8,123.4,214.2,6.5,2,0,1
0,131,25,192.7,225.9,254.2,10.9,2,0,1
0,146,0,204.4,219.1,222.7,10.5,3,1,0
0,143,0,172.3,174,188.2,13,2,0,0
0,81,0,198.4,210.9,193.3,10.4,2,0,0
0,48,37,211.7,159.9,144.1,12.2,1,0,1
0,86,28,221.6,288.4,240.3,9,1,0,1
0,71,0,197.9,181.5,281.4,6.7,3,0,0
0,145,24,147.5,175.7,252.1,15.6,2,0,1
0,137,0,206.4,128,194.5,8.8,2,0,0
0,137,0,205.9,209.3,289.9,14.5,2,0,0
0,167,0,207.6,132.4,255.2,14.1,0,0,0
1,89,0,303.9,260.9,312.1,5.3,1,0,0
0,199,34,230.6,219.4,299.3,8,0,0,1
0,132,0,99.5,129.1,125.1,9.7,0,0,0
0,94,0,177.1,194,146.7,5.9,1,0,0
1,96,37,172.7,120.1,216.1,10.3,5,0,1
0,96,18,172.7,133.4,259.5,9.8,1,0,1
0,166,0,204.2,179.9,216.8,9.5,1,0,0
0,74,0,85.7,247.7,142.4,10.1,2,0,0
0,36,0,157.6,184.3,240.4,11.9,0,0,0
0,113,0,215.5,218.7,207.1,6.6,4,0,0
0,94,0,181.5,199.9,287.7,6.6,1,0,0
0,67,0,171.7,110.4,195.4,11.9,2,0,0
1,127,0,266.6,264.8,207.2,5.9,1,0,0
1,121,0,170.4,350.5,297,11.2,0,0,0
0,158,0,158,292.5,241.1,9.1,1,0,0
0,136,0,92,253.6,214.1,10.3,1,0,0
0,196,0,234,249.5,173.1,9.1,2,0,0
1,113,0,272.1,268.5,213.8,8.5,1,0,0
1,122,0,296.4,214.8,133.9,11.4,4,0,0
0,112,0,194.4,190.3,183.4,11.4,0,0,0
0,209,0,227.2,258.4,183.5,8.9,3,0,0
1,62,0,248.7,220,265.7,13.2,1,0,0
0,110,38,236.3,195.9,183.5,9.7,1,0,1
0,16,0,205.6,169.5,220.1,10.9,0,0,0
0,73,0,94.1,280.3,205,9.8,0,0,0
0,128,0,125.2,205.4,254.4,18.9,0,0,0
0,39,0,60.4,306.2,123.9,12.4,1,0,0
0,103,28,121,270.4,160.5,7.7,2,0,1
0,119,29,117.8,256.8,147.6,7.6,3,0,1
0,173,21,232.4,211.9,273,5,3,0,1
1,128,32,223.5,188.8,154.9,9.4,2,1,1
0,86,0,176.3,259.2,287.4,6.2,0,0,0
0,114,32,125.2,177.8,232.4,12.9,1,0,1
0,104,0,138.7,256.9,234.9,10,0,0,0
0,148,0,86.3,246.6,251.6,11.3,1,0,0
0,129,0,207,154.9,245.1,13.4,3,0,0
0,100,30,58.8,219.5,152.3,7.1,0,0,1
0,121,35,68.7,209.2,197.4,11.4,1,0,1
0,143,33,239.2,235.5,156.3,9.5,1,0,1
0,76,0,198.3,217.1,188.4,12.5,0,0,0
0,158,0,205.2,240.6,79.7,14.4,0,0,0
0,116,0,192.1,312.9,130.2,7.9,3,0,0
1,54,0,272.6,248.7,197.4,9.5,1,0,0
1,86,0,128.3,197.1,138.4,12.2,7,0,0
0,108,0,169.6,264.1,206.3,9.3,0,0,0
0,66,0,201.3,152.8,233.2,7.5,1,0,0
0,151,17,214.7,138.5,169.1,8.6,1,0,1
0,99,0,169.2,271.5,170.2,10.6,0,0,0
0,55,0,194.1,176.6,302.8,7,2,0,0
0,77,0,233.8,266.5,212.7,7.6,2,0,0
0,78,0,225.1,199.2,175.5,14.6,0,0,0
1,89,0,213,176.6,262.6,9.1,1,0,0
0,101,0,183.9,255.9,275,10.8,1,0,0
0,44,34,221.8,161.7,227.7,14,0,0,1
0,98,21,64.6,176.1,244.8,0,2,0,1
0,64,37,154.6,83.4,165.9,13.3,1,0,1
0,141,0,260.2,179.2,135,7.2,3,0,0
0,81,33,161.6,123,261.3,12.2,1,0,1
0,162,0,220.6,155.2,186.7,10.5,1,0,0
0,83,41,155.9,162.3,127.6,13.1,3,0,1
1,100,0,107,105.7,243.1,12.8,4,0,0
0,59,0,182.5,204.7,229.9,11.3,4,0,0
0,179,38,220.1,234.3,237.3,10.1,4,1,1
0,79,0,152.2,177.2,96.4,5.3,1,0,0
0,117,0,181.5,205.1,204,14.7,2,0,0
1,64,0,236.2,218.6,194.1,13.2,2,1,0
0,31,0,166.1,79.3,213.7,12.7,1,0,0
0,124,0,244.6,188.8,206,11.3,1,1,0
0,122,23,134.2,227.3,122.4,8.5,2,0,1
0,37,39,149.7,211.1,114.3,9.2,1,1,1
0,90,29,150.1,264.7,178.4,5.8,1,0,1
1,159,0,257.1,312.2,183,8.8,1,1,0
0,148,0,124.4,179.7,253,11.3,0,0,0
0,39,36,141.7,232.3,222.1,12,1,0,1
0,77,0,230,103.2,309.6,11.3,2,0,0
0,194,0,162.3,213.7,192.1,10.9,0,0,0
1,154,0,350.8,216.5,253.9,10.1,1,0,0
0,112,0,193.3,264.1,128.6,9.1,4,0,0
0,45,0,78.2,253.4,255,18,1,0,0
0,132,0,83.4,232.2,146.7,7.6,1,0,0
0,128,0,195.6,267.8,164.9,16,0,0,0
0,135,0,201.8,225,204.4,10.3,1,0,0
0,56,0,197,222.8,225.3,10.6,2,0,0
1,151,0,218,114.4,269.2,12.4,0,1,0
0,32,0,164.8,229.9,167.3,14.8,2,0,0
0,90,0,179.2,210.7,276.9,9.2,2,0,0
0,87,21,214,180,134.5,10.6,0,0,1
0,138,0,170.5,118.2,187.9,11.2,2,0,0
0,79,0,205.7,214.5,226.1,6.7,1,0,0
1,95,0,165.5,286.2,198.9,11.5,1,1,0
0,127,0,221,160.7,233.1,6.8,2,0,0
0,137,0,242.1,191,218.6,14.7,3,0,0
0,97,0,151.6,155.4,240,14.7,1,0,0
0,149,0,176.2,145,249.5,5.7,0,1,0
0,117,22,196,322.7,225.6,3.7,1,1,1
0,84,0,159.5,247.1,187.9,7.2,2,0,0
0,137,0,230.2,220.4,204.7,10.7,4,0,0
0,99,0,146.7,274,321.3,8.9,3,0,0
0,54,0,210.5,204.5,127.8,8.5,1,0,0
0,85,0,102,270.2,148.2,10.7,1,0,0
0,150,0,126,238.5,285.1,10.2,3,0,0
0,43,0,168.4,243.8,214.7,11.1,1,0,0
0,35,0,105.6,258.2,213.1,8.7,0,0,0
0,98,0,206.5,176.2,232.8,12.4,5,0,0
0,112,0,217.1,205.2,185.7,9.4,2,0,0
1,16,0,229.6,205.7,166.2,10.8,0,0,0
0,98,22,278.3,93.4,107.6,9.7,0,0,1
0,84,0,138.6,199,204.1,7.8,0,0,0
1,94,0,234.4,279.3,234.2,2,1,0,0
0,84,0,181.5,130.7,186.5,8.5,1,0,0
1,66,0,167.3,230,191.7,10.6,1,0,0
0,98,31,121,218.9,226.7,12,1,0,1
0,74,0,221.1,110.8,240.1,10.6,0,0,0
0,96,26,145.8,192.2,165.1,9.9,1,0,1
0,119,0,222.8,163.2,160.6,11.2,1,0,0
0,73,0,183.4,242,201.4,7.5,4,0,0
0,92,0,264.3,160.9,198.6,9.3,0,1,0
0,21,0,146,109.7,247.4,6.8,0,0,0
1,122,0,157.1,184.9,197.2,8.5,4,0,0
0,133,0,127.3,251.3,135,10.3,1,1,0
0,145,0,187.9,197,167,4.8,2,0,0
0,25,0,178.8,141.2,203,8.4,2,0,0
0,64,0,97.2,186.2,189,10.4,2,0,0
0,85,0,259.8,242.3,168.8,5.4,0,0,0
0,126,0,256.5,199.5,188.3,7,3,0,0
0,76,0,169.5,124,219.4,10,0,0,0
1,113,0,239.7,282.9,238.4,8.7,2,0,0
1,224,0,171.5,160,212.4,5,1,1,0
0,117,0,239.9,174.8,209.5,9.8,0,0,0
0,128,34,142.3,194.8,239.3,16,1,0,1
0,115,0,184.1,327,212.5,7.5,2,0,0
0,141,28,206.9,264.4,171.8,9.3,2,0,1
0,51,0,259.9,176.2,77.2,15.3,1,0,0
0,100,0,203.8,283.1,197.3,12.5,0,0,0
0,96,45,248.8,140.3,263.6,10.3,3,0,1
0,112,16,221.6,130.2,200,11.3,1,0,1
0,129,0,192.9,185.5,205.2,10.9,1,1,0
0,163,0,122.4,113.4,180.2,12.5,1,0,0
0,67,40,104.9,216.3,217.4,9.6,1,0,1
0,140,0,173.2,196.8,209.3,11.2,3,0,0
0,49,0,119.4,273.3,214.4,12.4,2,0,0
1,46,0,250.3,260.6,195,13.3,2,0,0
0,148,0,178.3,282.6,181,11.4,1,0,0
0,112,0,243.4,182.1,259.2,12.8,1,0,0
0,78,0,155,175.3,155.6,11.8,2,0,0
0,61,31,288.7,203.8,203.2,8.6,0,0,1
0,58,29,240.4,118.9,164.2,11.2,1,0,1
0,155,0,190.3,301.3,214.6,8,1,0,0
1,100,0,278,176.7,219.5,8.3,0,0,0
0,113,0,155,330.6,189.4,13.5,1,0,0
0,81,0,153.5,197.6,198.5,6.3,2,0,0
0,135,27,273.4,154,245.8,12.3,1,0,1
0,99,0,155.3,265.7,145.7,12.4,0,0,0
0,59,29,133.1,221.2,131.6,6.8,1,0,1
0,135,0,246.8,187.8,154.5,12.6,1,0,0
0,85,0,165.4,196,349.2,9.6,2,1,0
0,70,0,59.5,257.2,208.3,11.1,0,0,0
0,88,0,138.3,236,179.1,9.6,3,0,0
0,55,0,286.7,134.4,192.9,6.9,2,0,0
0,75,0,117.3,201.1,107.9,12.2,1,0,0
0,79,21,264.3,202.8,173.4,6.3,4,0,1
0,85,0,127.9,271.2,202.2,12.5,0,0,0
0,86,23,225.5,246.3,245.7,9.8,0,0,1
0,91,0,149,245.3,260,8.3,0,0,0
0,149,20,198.9,274,190.7,14.3,1,0,1
1,97,0,256.4,273.9,222.7,11.1,1,0,0
1,88,0,264.8,245.4,160.5,14.8,1,0,0
0,60,0,98.2,180.5,223.6,9.3,2,0,0
0,54,0,159.8,264,115.7,9.7,2,0,0
0,11,28,190.6,220.1,180.3,6,3,0,1
0,109,0,184,120.4,153.7,11,0,0,0
0,90,0,261.8,220.6,136.6,9.6,1,0,0
0,115,0,147.9,228.4,299.7,9.6,3,0,0
0,144,18,106.4,108.1,208.4,10.1,1,0,1
0,91,0,133.7,195.3,280.5,5.9,0,0,0
0,105,23,193.5,220.2,272.4,8.5,0,0,1
1,71,0,178.2,167.8,182.1,13.6,3,1,0
1,132,36,226.2,181.6,258.8,10.5,3,0,1
0,112,0,170.4,200.2,258.3,11.6,1,0,0
0,86,32,70.9,166.7,244.9,11.1,3,0,1
0,41,34,194.4,254.9,160.2,17.2,2,0,1
0,44,0,240.3,164.6,240.7,10.6,1,0,0
0,78,0,75,248.7,176,9.5,3,0,0
0,149,0,69.1,136.3,181.7,6.3,1,0,0
1,72,33,96.6,315.4,163.3,6.2,4,0,1
0,139,20,214.6,235.1,162.8,14.8,0,0,1
0,74,0,148.5,146.5,289.2,9.9,3,0,0
0,50,0,258.1,161.4,225.1,11.7,1,0,0
0,141,23,149.7,162.5,220.3,7.6,3,0,1
0,140,0,149.8,164.4,294.7,8.1,1,0,0
0,99,0,190.4,158.1,271.5,11.2,2,0,0
0,166,0,181.4,253.8,112.3,11.6,1,0,0
0,124,0,151.1,187.4,255.4,5.3,1,0,0
0,74,0,155.7,173.7,257.4,8.1,0,0,0
0,117,0,149.9,256.1,212.7,13.3,2,0,0
0,85,0,222.3,231.5,223.5,11,3,0,0
0,36,16,149.4,131.8,132.7,6.7,0,0,1
0,102,0,233.8,221.6,146.9,12.8,0,1,0
0,76,0,204.2,292.6,244.3,10.5,0,0,0
0,165,0,242.9,209.8,228.4,0,1,0,0
0,130,0,150.4,230.5,186.3,12.3,1,0,0
0,78,0,208.9,252.4,280.2,12.8,0,0,0
1,55,0,191.9,256.1,203.7,14.3,1,1,0
1,92,0,130.7,260.6,244.2,9.4,2,1,0
0,129,33,119.6,278.7,263.4,5.9,2,0,1
0,18,0,273.6,114.6,250.6,8.2,1,0,0
0,161,0,156.1,180.3,179.6,11.1,2,1,0
0,93,36,178.7,178.6,126.8,8,2,0,1
0,144,0,177.5,287.4,180.5,11.9,2,0,0
1,75,0,211.3,105.6,175.9,9.7,4,1,0
0,95,0,175.2,244.4,75.8,7.5,1,0,0
0,126,23,114.3,190.3,240.4,12.6,3,0,1
0,124,28,251.4,225.1,251.9,7.5,1,0,1
1,93,0,216.9,207.4,221.7,17.5,1,1,0
0,109,26,217.2,145.5,280.7,9.3,0,1,1
0,80,0,206.3,154.9,263.6,12.4,0,0,0
0,41,0,159.3,125.9,261.9,11.1,1,0,0
0,136,31,143.1,236.6,227.8,11.4,2,0,1
1,92,0,154,329.8,288,5.6,3,0,0
0,143,24,186.6,222,234.9,11.6,1,0,1
1,118,26,170.8,199.5,169.7,9.6,5,0,1
